,title,url
58,"On violin and cello, ""Passacaglia""","https://www.ted.com/talks/robert_gupta_and_joshua_roman_duet_on_passacaglia
"
59,You can grow new brain cells. Here's how,"https://www.ted.com/talks/sandrine_thuret_you_can_grow_new_brain_cells_here_s_how
"
60,A brain in a supercomputer,"https://www.ted.com/talks/henry_markram_supercomputing_the_brain_s_secrets
"
61,Turning trash into toys for learning,"https://www.ted.com/talks/arvind_gupta_turning_trash_into_toys_for_learning
"
62,Sometimes it's good to give up the driver's seat,"https://www.ted.com/talks/baba_shiv_sometimes_it_s_good_to_give_up_the_driver_s_seat
"
63,How an obese town lost a million pounds,"https://www.ted.com/talks/mick_cornett_how_an_obese_town_lost_a_million_pounds
"
64,Why our IQ levels are higher than our grandparents',"https://www.ted.com/talks/james_flynn_why_our_iq_levels_are_higher_than_our_grandparents
"
65,India's invisible innovation,"https://www.ted.com/talks/nirmalya_kumar_india_s_invisible_entrepreneurs
"
66,A secret memorial for civilian casualties,"https://www.ted.com/talks/matt_kenyon_how_i_snuck_a_memorial_for_iraqi_civilians_into_the_us_government
"
67,What humans can learn from semi-intelligent slime,"https://www.ted.com/talks/heather_barnett_what_humans_can_learn_from_semi_intelligent_slime_1
"
68,A father-daughter dance ... in prison,"https://www.ted.com/talks/angela_patton_a_father_daughter_dance_in_prison
"
69,New rules for rebuilding a broken nation,"https://www.ted.com/talks/paul_collier_s_new_rules_for_rebuilding_a_broken_nation
"
70,Crowdsource your health,"https://www.ted.com/talks/lucien_engelen_crowdsource_your_health
"
71,An entertainment icon on living a life of meaning,"https://www.ted.com/talks/norman_lear_an_entertainment_icon_on_living_a_life_of_meaning
"
72,Image recognition that triggers augmented reality,"https://www.ted.com/talks/matt_mills_image_recognition_that_triggers_augmented_reality
"
73,How equal do we want the world to be? You'd be surprised,"https://www.ted.com/talks/dan_ariely_how_equal_do_we_want_the_world_to_be_you_d_be_surprised
"
74,Why I'm rowing across the Pacific,"https://www.ted.com/talks/roz_savage_why_i_m_rowing_across_the_pacific
"
75,Drawings that show the beauty and fragility of Earth,"https://www.ted.com/talks/zaria_forman_drawings_that_show_the_beauty_and_fragility_of_earth
"
76,"Unseen footage, untamed nature","https://www.ted.com/talks/karen_bass_unseen_footage_untamed_nature
"
77,The single biggest reason why startups succeed,"https://www.ted.com/talks/bill_gross_the_single_biggest_reason_why_startups_succeed
"
78,The human insights missing from big data,"https://www.ted.com/talks/tricia_wang_the_human_insights_missing_from_big_data
"
79,What do we do when antibiotics don't work any more?,"https://www.ted.com/talks/maryn_mckenna_what_do_we_do_when_antibiotics_don_t_work_any_more
"
80,Adventures in Twitter fiction,"https://www.ted.com/talks/andrew_fitzgerald_adventures_in_twitter_fiction
"
81,The paradox of choice,"https://www.ted.com/talks/barry_schwartz_on_the_paradox_of_choice
"
82,My message of peace from Pakistan,"https://www.ted.com/talks/asher_hasan_s_message_of_peace_from_pakistan
"
83,Pop culture in the Arab world,"https://www.ted.com/talks/shereen_el_feki_pop_culture_in_the_arab_world
"
84,Are we designed to be sexual omnivores?,"https://www.ted.com/talks/christopher_ryan_are_we_designed_to_be_sexual_omnivores
"
85,The hidden light of Afghanistan,"https://www.ted.com/talks/monika_bulaj_the_hidden_light_of_afghanistan
"
86,A complicated hero in the war on dictatorship,"https://www.ted.com/talks/samantha_power_on_a_complicated_hero
"
87,The sore problem of prosthetic limbs,"https://www.ted.com/talks/david_sengeh_the_sore_problem_of_prosthetic_limbs
"
88,How we're harnessing nature's hidden superpowers,"https://www.ted.com/talks/oded_shoseyov_how_we_re_harnessing_nature_s_hidden_superpowers
"
89,4 pillars of college success in science,"https://www.ted.com/talks/freeman_hrabowski_4_pillars_of_college_success_in_science
"
90,What happens when our computers get smarter than we are?,"https://www.ted.com/talks/nick_bostrom_what_happens_when_our_computers_get_smarter_than_we_are
"
91,The transformative power of classical music,"https://www.ted.com/talks/benjamin_zander_on_music_and_passion
"
92,Hunting for dinosaurs showed me our place in the universe,"https://www.ted.com/talks/kenneth_lacovara_hunting_for_dinosaurs_showed_me_our_place_in_the_universe
"
93,A dance to honor Mother Earth,"https://www.ted.com/talks/jon_boogz_and_lil_buck_a_dance_to_honor_mother_earth
"
94,"Fun, fierce and fantastical African art","https://www.ted.com/talks/wanuri_kahiu_fun_fierce_and_fantastical_african_art
"
95,7 rules for making more happiness,"https://www.ted.com/talks/stefan_sagmeister_7_rules_for_making_more_happiness
"
96,How to avoid surveillance ... with the phone in your pocket,"https://www.ted.com/talks/christopher_soghoian_a_brief_history_of_phone_wiretapping_and_how_to_avoid_it
"
97,Israel and Iran: A love story?,"https://www.ted.com/talks/israel_and_iran_a_love_story
"
98,The wireless future of medicine,"https://www.ted.com/talks/eric_topol_the_wireless_future_of_medicine
"
99,The year I was homeless,"https://www.ted.com/talks/becky_blanton_the_year_i_was_homeless
"
100,What doctors don't know about the drugs they prescribe,"https://www.ted.com/talks/ben_goldacre_what_doctors_don_t_know_about_the_drugs_they_prescribe
"
101,This virtual lab will revolutionize science class,"https://www.ted.com/talks/michael_bodekaer_this_virtual_lab_will_revolutionize_science_class
"
102,How I hacked online dating,"https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating
"
103,New insights on poverty,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
"
104,4 lessons I learned from taking a stand against drugs and gun violence,"https://www.ted.com/talks/ilona_szabo_de_carvalho_4_lessons_i_learned_from_taking_a_stand_against_drugs_and_gun_violence
"
105,The clues to a great story,"https://www.ted.com/talks/andrew_stanton_the_clues_to_a_great_story
"
106,The route to a sustainable future,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
"
107,"See invisible motion, hear silent sounds","https://www.ted.com/talks/michael_rubinstein_see_invisible_motion_hear_silent_sounds_cool_creepy_we_can_t_decide
"
108,The  4 a.m. mystery,"https://www.ted.com/talks/rives_on_4_a_m
"
109,"You smell with your body, not just your nose","https://www.ted.com/talks/jennifer_pluznick_you_smell_with_your_body_not_just_your_nose
"
110,Why not make video games for girls?,"https://www.ted.com/talks/brenda_laurel_on_making_games_for_girls
"
111,The gospel of doubt,"https://www.ted.com/talks/casey_gerald_the_gospel_of_doubt
"
112,How Africa can keep rising,"https://www.ted.com/talks/ngozi_okonjo_iweala_how_africa_can_keep_rising
"
113,Will our kids be a different species?,"https://www.ted.com/talks/juan_enriquez_will_our_kids_be_a_different_species
"
114,A demo of wireless electricity,"https://www.ted.com/talks/eric_giler_demos_wireless_electricity
"
115,Want to be happier? Stay in the moment,"https://www.ted.com/talks/matt_killingsworth_want_to_be_happier_stay_in_the_moment
"
116,Is the obesity crisis hiding a bigger problem?,"https://www.ted.com/talks/peter_attia_what_if_we_re_wrong_about_diabetes
"
117,Profit’s not always the point,"https://www.ted.com/talks/harish_manwani_profit_s_not_always_the_point
"
118,The DIY orchestra of the future,"https://www.ted.com/talks/ge_wang_the_diy_orchestra_of_the_future
"
119,The day I stood up alone,"https://www.ted.com/talks/boniface_mwangi_boniface_mwangi_the_day_i_stood_up_alone
"
120,Averting the climate crisis,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
121,1.3m reasons to re-invent the syringe,"https://www.ted.com/talks/marc_koska_the_devastating_toll_of_syringe_reuse
"
122,A glimpse of life on the road,"https://www.ted.com/talks/kitra_cahana_stories_of_the_homeless_and_hidden
"
123,A broken body isn't a broken person,"https://www.ted.com/talks/janine_shepherd_a_broken_body_isn_t_a_broken_person
"
124,How we'll fight the next deadly virus,"https://www.ted.com/talks/pardis_sabeti_how_we_ll_fight_the_next_deadly_virus
"
125,How to protect fast-growing cities from failing,"https://www.ted.com/talks/robert_muggah_how_to_protect_fast_growing_cities_from_failing
"
126,My 12 pairs of legs,"https://www.ted.com/talks/aimee_mullins_prosthetic_aesthetics
"
127,A better way to talk about love,"https://www.ted.com/talks/mandy_len_catron_a_better_way_to_talk_about_love
"
128,A story about knots and surgeons,"https://www.ted.com/talks/ed_gavagan_a_story_about_knots_and_surgeons
"
129,New York -- before the City,"https://www.ted.com/talks/eric_sanderson_pictures_new_york_before_the_city
"
130,"Religion, evolution, and the ecstasy of self-transcendence","https://www.ted.com/talks/jonathan_haidt_humanity_s_stairway_to_self_transcendence
"
131,Using biology to rethink the energy challenge,"https://www.ted.com/talks/juan_enriquez_wants_to_grow_energy
"
132,No one should die because they live too far from a doctor,"https://www.ted.com/talks/raj_panjabi_no_one_should_die_because_they_live_too_far_from_a_doctor
"
133,What's wrong with what we eat,"https://www.ted.com/talks/mark_bittman_on_what_s_wrong_with_what_we_eat
"
134,The loves and lies of fireflies,"https://www.ted.com/talks/sara_lewis_the_loves_and_lies_of_fireflies
"
135,Chemical scum that dream of distant quasars,"https://www.ted.com/talks/david_deutsch_on_our_place_in_the_cosmos
"
136,My wish: A global day of film,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
137,The new era of positive psychology,"https://www.ted.com/talks/martin_seligman_on_the_state_of_psychology
"
138,Fighting cancer with dance,"https://www.ted.com/talks/ananda_shankar_jayant_fights_cancer_with_a_dance
"
139,We need to talk about an injustice,"https://www.ted.com/talks/bryan_stevenson_we_need_to_talk_about_an_injustice
"
140,Making law on the high seas,"https://www.ted.com/talks/kristina_gjerde_making_law_on_the_high_seas
"
141,Inside the mind of a master procrastinator,"https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator
"
142,The real future of space exploration,"https://www.ted.com/talks/burt_rutan_sees_the_future_of_space
"
143,The story behind the Mars Rovers,"https://www.ted.com/talks/charles_elachi_on_the_mars_rovers
"
144,"If cars could talk, accidents might be avoidable","https://www.ted.com/talks/jennifer_healey_if_cars_could_talk_accidents_might_be_avoidable
"
145,10 things you didn't know about orgasm,"https://www.ted.com/talks/mary_roach_10_things_you_didn_t_know_about_orgasm
"
146,"Fighting viruses, defending the net","https://www.ted.com/talks/mikko_hypponen_fighting_viruses_defending_the_net
"
147,Immigrant voices make democracy stronger,"https://www.ted.com/talks/sayu_bhojwani_how_immigrant_voices_make_democracy_stronger
"
148,The long reach of reason,"https://www.ted.com/talks/steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason
"
149,My journey into movies that matter,"https://www.ted.com/talks/jeff_skoll_makes_movies_that_make_change
"
150,Tales of passion,"https://www.ted.com/talks/isabel_allende_tells_tales_of_passion
"
151,What hallucination reveals about our minds,"https://www.ted.com/talks/oliver_sacks_what_hallucination_reveals_about_our_minds
"
152,The shocking move to criminalize nonviolent protest,"https://www.ted.com/talks/will_potter_the_shocking_move_to_criminalize_non_violent_protest
"
153,What a bike ride can teach you,"https://www.ted.com/talks/shimon_schocken_s_rides_of_hope
"
154,A practical way to help the homeless find work and safety,"https://www.ted.com/talks/richard_j_berry_a_practical_way_to_help_the_homeless_find_work_and_safety
"
155,How to fix a broken education system ... without any more money,"https://www.ted.com/talks/seema_bansal_how_to_fix_a_broken_education_system_without_any_more_money
"
156,A Magna Carta for the web,"https://www.ted.com/talks/tim_berners_lee_a_magna_carta_for_the_web
"
157,Why we do what we do,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
158,"The future race car -- 150mph, and no driver","https://www.ted.com/talks/chris_gerdes_the_future_race_car_150mph_and_no_driver
"
159,The first 21 days of a bee’s life,"https://www.ted.com/talks/anand_varma_a_thrilling_look_at_the_first_21_days_of_a_bee_s_life
"
160,The beauty and diversity of Muslim life,"https://www.ted.com/talks/bassam_tariq_the_beauty_and_diversity_of_muslim_life
"
161,A dive into the reef's Twilight Zone,"https://www.ted.com/talks/richard_pyle_dives_the_twilight_zone
"
162,Life's third act,"https://www.ted.com/talks/jane_fonda_life_s_third_act
"
163,Why we need gender-neutral bathrooms,"https://www.ted.com/talks/ivan_coyote_why_we_need_gender_neutral_bathrooms
"
164,The great penguin rescue,"https://www.ted.com/talks/dyan_denapoli_the_great_penguin_rescue
"
165,We can recycle plastic,"https://www.ted.com/talks/mike_biddle
"
166,"Looks aren't everything. Believe me, I'm a model.","https://www.ted.com/talks/cameron_russell_looks_aren_t_everything_believe_me_i_m_a_model
"
167,Smart failure for a fast-changing world,"https://www.ted.com/talks/eddie_obeng_smart_failure_for_a_fast_changing_world
"
168,"Lose your ego, find your compassion","https://www.ted.com/talks/imam_feisal_abdul_rauf
"
169,How trees talk to each other,"https://www.ted.com/talks/suzanne_simard_how_trees_talk_to_each_other
"
170,"Global population growth, box by box","https://www.ted.com/talks/hans_rosling_on_global_population_growth
"
171,What happens when you have a disease doctors can't diagnose,"https://www.ted.com/talks/jen_brea_what_happens_when_you_have_a_disease_doctors_can_t_diagnose
"
172,How pollution is changing the ocean's chemistry,"https://www.ted.com/talks/triona_mcgrath_how_pollution_is_changing_the_ocean_s_chemistry
"
173,The ancient ingenuity of water harvesting,"https://www.ted.com/talks/anupam_mishra_the_ancient_ingenuity_of_water_harvesting
"
174,Why you should talk to strangers,"https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers
"
