Date,AAPL,AMZN,FB,GOOG,NFLX
2020-11-03,109.899,3048.41,265.3,1650.21,487.22
2020-11-04,114.387,3241.16,287.38,1749.13,496.95
2020-11-05,118.447,3322.0,294.68,1763.37,513.76
2020-11-06,118.312,3311.37,293.41,1761.75,514.73
2020-11-09,115.949,3143.74,278.77,1763.0,470.5
2020-11-10,115.601,3035.02,272.43,1740.39,480.24
2020-11-11,119.109,3137.39,276.48,1752.71,490.76
2020-11-12,118.83,3110.28,275.08,1749.84,486.77
2020-11-13,118.88,3128.81,276.95,1777.02,482.84
2020-11-16,119.917,3131.06,278.96,1781.38,479.1
2020-11-17,119.01,3135.66,275.0,1770.15,480.63
2020-11-18,117.654,3105.46,271.97,1746.78,481.79
2020-11-19,118.262,3117.02,272.94,1763.92,484.67
2020-11-20,116.966,3099.4,269.7,1742.19,488.24
2020-11-23,113.487,3098.39,268.43,1734.86,476.62
2020-11-24,114.803,3118.06,276.92,1768.88,482.88
2020-11-25,115.66,3185.07,275.59,1771.43,485.0
2020-11-27,116.219,3195.34,277.81,1793.19,491.36
2020-11-30,118.671,3168.04,276.97,1760.74,490.7
