,0,1
0,0.01,5.0
1,0.01,6.0
2,0.01,7.0
3,0.01,8.0
4,0.01,9.0
5,0.01,10.0
6,0.01,11.0
7,0.01,12.0
8,0.01,13.0
9,0.01,14.0
10,0.01,15.0
11,0.01,16.0
12,0.01,17.0
13,0.01,18.0
14,0.01,19.0
15,0.01,20.0
16,0.01,21.0
17,0.01,22.0
18,0.01,23.0
19,0.01,24.0
20,0.025025125628140705,5.0
21,0.025025125628140705,6.0
22,0.025025125628140705,7.0
23,0.025025125628140705,8.0
24,0.025025125628140705,9.0
25,0.025025125628140705,10.0
26,0.025025125628140705,11.0
27,0.025025125628140705,12.0
28,0.025025125628140705,13.0
29,0.025025125628140705,14.0
30,0.025025125628140705,15.0
31,0.025025125628140705,16.0
32,0.025025125628140705,17.0
33,0.025025125628140705,18.0
34,0.025025125628140705,19.0
35,0.025025125628140705,20.0
36,0.025025125628140705,21.0
37,0.025025125628140705,22.0
38,0.025025125628140705,23.0
39,0.025025125628140705,24.0
40,0.04005025125628141,5.0
41,0.04005025125628141,6.0
42,0.04005025125628141,7.0
43,0.04005025125628141,8.0
44,0.04005025125628141,9.0
45,0.04005025125628141,10.0
46,0.04005025125628141,11.0
47,0.04005025125628141,12.0
48,0.04005025125628141,13.0
49,0.04005025125628141,14.0
50,0.04005025125628141,15.0
51,0.04005025125628141,16.0
52,0.04005025125628141,17.0
53,0.04005025125628141,18.0
54,0.04005025125628141,19.0
55,0.04005025125628141,20.0
56,0.04005025125628141,21.0
57,0.04005025125628141,22.0
58,0.04005025125628141,23.0
59,0.04005025125628141,24.0
60,0.055075376884422114,5.0
61,0.055075376884422114,6.0
62,0.055075376884422114,7.0
63,0.055075376884422114,8.0
64,0.055075376884422114,9.0
65,0.055075376884422114,10.0
66,0.055075376884422114,11.0
67,0.055075376884422114,12.0
68,0.055075376884422114,13.0
69,0.055075376884422114,14.0
70,0.055075376884422114,15.0
71,0.055075376884422114,16.0
72,0.055075376884422114,17.0
73,0.055075376884422114,18.0
74,0.055075376884422114,19.0
75,0.055075376884422114,20.0
76,0.055075376884422114,21.0
77,0.055075376884422114,22.0
78,0.055075376884422114,23.0
79,0.055075376884422114,24.0
80,0.07010050251256282,5.0
81,0.07010050251256282,6.0
82,0.07010050251256282,7.0
83,0.07010050251256282,8.0
84,0.07010050251256282,9.0
85,0.07010050251256282,10.0
86,0.07010050251256282,11.0
87,0.07010050251256282,12.0
88,0.07010050251256282,13.0
89,0.07010050251256282,14.0
90,0.07010050251256282,15.0
91,0.07010050251256282,16.0
92,0.07010050251256282,17.0
93,0.07010050251256282,18.0
94,0.07010050251256282,19.0
95,0.07010050251256282,20.0
96,0.07010050251256282,21.0
97,0.07010050251256282,22.0
98,0.07010050251256282,23.0
99,0.07010050251256282,24.0
100,0.08512562814070351,5.0
