,max_depth,min_samples_leaf,learn_rate,accuracy
158,17.0,11.0,1.11852349,51.0
159,17.0,4.0,1.505838926,51.0
160,45.0,11.0,0.504161074,51.0
161,15.0,5.0,2.0,51.0
162,21.0,16.0,0.677785235,51.0
163,19.0,5.0,1.131879195,50.0
164,45.0,6.0,0.46409396,50.0
165,34.0,13.0,0.918187919,50.0
166,32.0,13.0,0.584295302,50.0
167,15.0,6.0,1.305503356,50.0
168,64.0,8.0,0.958255034,50.0
169,7.0,3.0,1.786308725,50.0
170,10.0,7.0,1.986644295,50.0
171,49.0,16.0,0.477449664,50.0
172,8.0,5.0,1.185302013,50.0
173,14.0,9.0,1.559261745,50.0
174,7.0,9.0,1.77295302,49.0
175,16.0,6.0,1.425704698,49.0
176,1.0,12.0,1.732885906,49.0
177,4.0,9.0,1.238724832,49.0
178,59.0,9.0,0.397315436,49.0
179,9.0,3.0,1.212013423,49.0
180,46.0,16.0,0.370604027,49.0
181,55.0,8.0,0.744563758,49.0
182,17.0,7.0,1.425704698,49.0
183,51.0,4.0,0.584295302,49.0
184,17.0,14.0,1.158590604,49.0
185,11.0,9.0,1.813020134,49.0
186,40.0,3.0,0.397315436,49.0
187,6.0,7.0,1.158590604,49.0
188,16.0,3.0,1.185302013,49.0
189,25.0,16.0,0.89147651,49.0
190,60.0,4.0,0.624362416,49.0
191,61.0,14.0,0.383959732,49.0
192,36.0,4.0,0.290469799,49.0
193,21.0,6.0,0.931543624,49.0
194,31.0,9.0,0.717852349,49.0
195,62.0,11.0,0.263758389,48.0
196,18.0,5.0,1.986644295,48.0
197,20.0,15.0,1.479127517,48.0
198,3.0,4.0,1.599328859,48.0
199,29.0,7.0,0.757919463,48.0
200,1.0,5.0,1.839731544,48.0
201,63.0,4.0,0.063422819,48.0
202,10.0,6.0,1.198657718,48.0
203,13.0,9.0,1.171946309,48.0
204,11.0,7.0,1.412348993,48.0
205,18.0,5.0,1.398993289,48.0
206,9.0,11.0,1.412348993,48.0
207,57.0,15.0,0.196979866,48.0
208,61.0,3.0,0.651073826,48.0
209,17.0,3.0,1.839731544,47.0
210,15.0,13.0,1.278791946,47.0
211,50.0,10.0,0.130201342,47.0
212,21.0,13.0,0.784630872,47.0
213,61.0,16.0,0.597651007,47.0
214,4.0,7.0,1.011677852,47.0
215,47.0,3.0,0.984966443,47.0
216,37.0,7.0,0.530872483,47.0
217,16.0,14.0,1.933221477,47.0
218,22.0,10.0,0.317181208,47.0
219,61.0,5.0,0.878120805,47.0
220,6.0,6.0,1.519194631,47.0
221,10.0,5.0,1.559261745,46.0
222,12.0,3.0,1.666107383,46.0
223,23.0,12.0,0.971610738,46.0
224,33.0,5.0,0.343892617,46.0
225,13.0,3.0,1.986644295,46.0
226,55.0,11.0,0.504161074,46.0
227,62.0,7.0,0.023355705,46.0
228,20.0,4.0,1.425704698,46.0
229,19.0,6.0,1.839731544,46.0
230,10.0,8.0,1.946577181,46.0
231,37.0,3.0,0.01,46.0
232,47.0,13.0,0.637718121,46.0
233,48.0,6.0,0.998322148,46.0
234,3.0,13.0,1.786308725,46.0
235,14.0,9.0,1.612684564,46.0
236,55.0,8.0,0.277114094,46.0
237,9.0,10.0,1.31885906,46.0
238,15.0,6.0,1.666107383,46.0
239,22.0,8.0,0.517516779,45.0
240,55.0,3.0,0.290469799,45.0
241,4.0,7.0,1.626040268,45.0
242,16.0,4.0,1.706174497,45.0
243,34.0,12.0,0.637718121,45.0
244,10.0,9.0,1.492483221,45.0
245,57.0,11.0,0.757919463,45.0
246,30.0,7.0,0.517516779,45.0
247,8.0,14.0,1.158590604,45.0
248,55.0,10.0,0.771275168,45.0
249,21.0,14.0,0.277114094,44.0
250,37.0,5.0,0.904832215,44.0
251,42.0,16.0,0.677785235,44.0
252,16.0,10.0,1.626040268,44.0
253,45.0,12.0,0.944899329,44.0
254,24.0,7.0,0.797986577,44.0
255,33.0,3.0,0.090134228,44.0
256,46.0,4.0,0.277114094,44.0
257,42.0,7.0,0.090134228,44.0
258,31.0,5.0,0.651073826,44.0
259,46.0,15.0,0.717852349,43.0
260,38.0,9.0,0.878120805,43.0
261,48.0,11.0,0.530872483,43.0
262,1.0,5.0,0.397315436,43.0
263,30.0,9.0,0.21033557,43.0
264,14.0,8.0,1.038389262,43.0
265,28.0,16.0,0.677785235,43.0
266,12.0,6.0,1.372281879,43.0
267,41.0,4.0,0.530872483,42.0
268,64.0,14.0,0.050067114,42.0
269,26.0,6.0,0.984966443,42.0
270,20.0,10.0,1.559261745,42.0
271,8.0,9.0,1.252080537,42.0
272,33.0,12.0,0.838053691,42.0
273,32.0,9.0,0.383959732,42.0
274,17.0,11.0,1.34557047,42.0
275,49.0,14.0,0.811342282,42.0
276,3.0,13.0,1.933221477,42.0
277,10.0,11.0,1.212013423,42.0
278,16.0,13.0,1.612684564,41.0
279,60.0,16.0,0.998322148,41.0
280,60.0,9.0,0.023355705,41.0
281,8.0,14.0,1.305503356,41.0
282,30.0,5.0,0.611006711,41.0
283,49.0,4.0,0.130201342,41.0
284,53.0,9.0,0.517516779,41.0
285,29.0,12.0,0.383959732,41.0
286,9.0,9.0,1.34557047,40.0
287,47.0,8.0,0.797986577,40.0
288,25.0,6.0,0.744563758,40.0
289,3.0,6.0,1.34557047,40.0
290,49.0,6.0,0.744563758,40.0
291,43.0,7.0,0.063422819,39.0
292,32.0,5.0,0.904832215,38.0
293,46.0,3.0,0.918187919,38.0
294,38.0,5.0,0.878120805,38.0
295,32.0,5.0,0.624362416,38.0
296,22.0,11.0,1.77295302,37.0
297,23.0,12.0,0.517516779,37.0
298,38.0,12.0,0.824697987,37.0
299,32.0,6.0,0.784630872,37.0
300,56.0,7.0,0.69114094,37.0
301,50.0,5.0,0.731208054,37.0
302,56.0,5.0,0.477449664,36.0
303,60.0,8.0,0.263758389,36.0
304,44.0,15.0,1.786308725,36.0
305,59.0,5.0,0.21033557,36.0
306,28.0,4.0,0.864765101,36.0
307,45.0,12.0,1.225369128,35.0
308,24.0,6.0,0.838053691,35.0
309,27.0,5.0,0.076778523,35.0
310,29.0,9.0,0.878120805,35.0
311,58.0,15.0,1.078456376,35.0
312,29.0,5.0,0.797986577,35.0
313,51.0,9.0,0.824697987,34.0
314,51.0,3.0,0.370604027,34.0
315,51.0,14.0,1.238724832,34.0
316,51.0,8.0,0.66442953,34.0
317,61.0,6.0,0.170268456,33.0
318,27.0,9.0,0.918187919,33.0
319,51.0,5.0,0.156912752,33.0
320,55.0,8.0,0.677785235,33.0
321,33.0,11.0,1.11852349,33.0
322,46.0,5.0,0.931543624,33.0
323,36.0,13.0,1.706174497,32.0
324,30.0,13.0,1.131879195,32.0
325,22.0,6.0,0.624362416,32.0
326,21.0,13.0,1.906510067,31.0
327,61.0,6.0,0.584295302,31.0
328,51.0,10.0,1.265436242,31.0
329,64.0,14.0,1.906510067,30.0
330,54.0,13.0,1.719530201,30.0
331,21.0,13.0,1.252080537,30.0
332,23.0,14.0,1.973288591,30.0
333,25.0,4.0,0.904832215,30.0
334,54.0,3.0,0.156912752,29.0
335,48.0,10.0,1.025033557,29.0
336,52.0,7.0,0.397315436,29.0
337,60.0,6.0,0.757919463,29.0
338,34.0,7.0,0.69114094,29.0
339,61.0,8.0,0.971610738,28.0
340,22.0,12.0,1.959932886,28.0
341,49.0,3.0,0.530872483,28.0
342,51.0,3.0,0.290469799,28.0
343,53.0,9.0,0.01,28.0
