symbol,data_values,time
196,300.140007,2010-10-13
197,302.30999,2010-10-14
198,314.739994,2010-10-15
199,317.999989,2010-10-18
200,309.489994,2010-10-19
201,310.529991,2010-10-20
202,309.520008,2010-10-21
203,307.470001,2010-10-22
204,308.839993,2010-10-25
205,308.049988,2010-10-26
206,307.830009,2010-10-27
207,305.23999,2010-10-28
208,300.98,2010-10-29
209,304.179993,2010-11-01
210,309.360004,2010-11-02
211,312.800003,2010-11-03
212,318.270008,2010-11-04
213,317.130009,2010-11-05
214,318.620003,2010-11-08
215,316.079998,2010-11-09
216,318.030003,2010-11-10
217,316.649998,2010-11-11
218,308.029987,2010-11-12
219,307.040005,2010-11-15
220,301.59,2010-11-16
221,300.499989,2010-11-17
222,308.429996,2010-11-18
223,306.730011,2010-11-19
224,313.35998900000004,2010-11-22
225,308.73000299999995,2010-11-23
226,314.799995,2010-11-24
227,315.0,2010-11-26
228,316.870003,2010-11-29
229,311.150005,2010-11-30
230,316.400005,2010-12-01
231,318.150005,2010-12-02
232,317.440002,2010-12-03
233,320.149998,2010-12-06
234,318.210007,2010-12-07
235,321.009991,2010-12-08
236,319.760002,2010-12-09
237,320.559994,2010-12-10
238,321.670006,2010-12-13
239,320.290001,2010-12-14
240,320.35998900000004,2010-12-15
241,321.249996,2010-12-16
242,320.610008,2010-12-17
243,322.209991,2010-12-20
244,324.199997,2010-12-21
245,325.159992,2010-12-22
246,323.60001,2010-12-23
247,324.680008,2010-12-27
248,325.470013,2010-12-28
249,325.290009,2010-12-29
250,323.660011,2010-12-30
251,322.560013,2010-12-31
252,329.57,2011-01-03
253,331.290012,2011-01-04
254,334.000008,2011-01-05
255,333.729988,2011-01-06
256,336.120003,2011-01-07
257,342.450001,2011-01-10
258,341.639996,2011-01-11
259,344.420006,2011-01-12
260,345.680008,2011-01-13
261,348.479992,2011-01-14
262,340.650013,2011-01-18
263,338.840012,2011-01-19
264,332.680004,2011-01-20
265,326.720001,2011-01-21
266,337.449993,2011-01-24
267,341.39999,2011-01-25
268,343.850006,2011-01-26
269,343.209991,2011-01-27
270,336.100002,2011-01-28
271,339.319996,2011-01-31
272,345.030006,2011-02-01
273,344.320004,2011-02-02
274,343.44001000000003,2011-02-03
275,346.5,2011-02-04
276,351.87999,2011-02-07
277,355.200012,2011-02-08
278,358.16,2011-02-09
279,354.539997,2011-02-10
280,356.85001,2011-02-11
281,359.179996,2011-02-14
282,359.900013,2011-02-15
283,363.129993,2011-02-16
284,358.300003,2011-02-17
285,350.560013,2011-02-18
286,338.60999300000003,2011-02-22
287,342.619991,2011-02-23
288,342.879997,2011-02-24
289,348.160011,2011-02-25
290,353.210007,2011-02-28
291,349.309998,2011-03-01
292,352.119995,2011-03-02
293,359.560005,2011-03-03
294,359.999989,2011-03-04
295,355.35998900000004,2011-03-07
296,355.759998,2011-03-08
297,352.46999,2011-03-09
298,346.66999100000004,2011-03-10
299,351.990005,2011-03-11
300,353.560001,2011-03-14
301,345.42998900000003,2011-03-15
302,330.01001,2011-03-16
303,334.639996,2011-03-17
304,330.669998,2011-03-18
305,339.299995,2011-03-21
306,341.200012,2011-03-22
307,339.190006,2011-03-23
308,344.970005,2011-03-24
309,351.540009,2011-03-25
310,350.44001000000003,2011-03-28
311,350.959995,2011-03-29
312,348.630009,2011-03-30
313,348.51000600000003,2011-03-31
314,344.560009,2011-04-01
315,341.189999,2011-04-04
316,338.88999900000005,2011-04-05
317,338.03999300000004,2011-04-06
318,338.079994,2011-04-07
319,335.060005,2011-04-08
320,330.799988,2011-04-11
321,332.399998,2011-04-12
322,336.12999,2011-04-13
323,332.419998,2011-04-14
324,327.459991,2011-04-15
325,331.849998,2011-04-18
326,337.85998900000004,2011-04-19
327,342.41,2011-04-20
328,350.699989,2011-04-21
329,353.010002,2011-04-25
330,350.42001,2011-04-26
331,350.14999,2011-04-27
332,346.749992,2011-04-28
333,350.12999,2011-04-29
334,346.27999500000004,2011-05-02
335,348.200012,2011-05-03
336,349.570004,2011-05-04
337,346.749992,2011-05-05
338,346.660004,2011-05-06
339,347.599998,2011-05-09
340,349.450001,2011-05-10
341,347.23000299999995,2011-05-11
342,346.569988,2011-05-12
343,340.499996,2011-05-13
344,333.299992,2011-05-16
345,336.140003,2011-05-17
346,339.869995,2011-05-18
347,340.53001,2011-05-19
348,335.220009,2011-05-20
349,334.39999,2011-05-23
350,332.190006,2011-05-24
351,336.779991,2011-05-25
352,335.000004,2011-05-26
353,337.409992,2011-05-27
354,347.82999,2011-05-31
355,345.509991,2011-06-01
356,346.099991,2011-06-02
357,343.44001000000003,2011-06-03
358,338.03999300000004,2011-06-06
359,332.039989,2011-06-07
360,332.239994,2011-06-08
361,331.48999,2011-06-09
362,325.900009,2011-06-10
363,326.599998,2011-06-13
364,332.439999,2011-06-14
365,326.749989,2011-06-15
366,325.159992,2011-06-16
367,320.259987,2011-06-17
368,315.320007,2011-06-20
369,325.299995,2011-06-21
370,322.61000099999995,2011-06-22
371,331.230011,2011-06-23
372,326.350006,2011-06-24
373,332.039989,2011-06-27
374,335.26001,2011-06-28
375,334.040009,2011-06-29
376,335.670006,2011-06-30
377,343.26000600000003,2011-07-01
378,349.43,2011-07-05
379,351.759987,2011-07-06
380,357.200005,2011-07-07
381,359.709995,2011-07-08
382,354.000011,2011-07-11
383,353.749992,2011-07-12
384,358.01999700000005,2011-07-13
385,357.77000400000003,2011-07-14
386,364.919994,2011-07-15
387,373.800011,2011-07-18
388,376.849987,2011-07-19
389,386.89999,2011-07-20
390,387.290012,2011-07-21
391,393.300003,2011-07-22
392,398.499989,2011-07-25
393,403.410007,2011-07-26
394,392.59,2011-07-27
395,391.819996,2011-07-28
396,390.479992,2011-07-29
397,396.749989,2011-08-01
398,388.909996,2011-08-02
399,392.57,2011-08-03
400,377.369999,2011-08-04
401,373.620007,2011-08-05
402,353.210007,2011-08-08
403,374.010002,2011-08-09
404,363.690006,2011-08-10
405,373.700008,2011-08-11
406,376.98999,2011-08-12
407,383.410004,2011-08-15
408,380.480003,2011-08-16
409,380.440002,2011-08-17
410,366.050007,2011-08-18
411,356.029991,2011-08-19
412,356.43998700000003,2011-08-22
413,373.600006,2011-08-23
414,376.180012,2011-08-24
415,373.720009,2011-08-25
416,383.579994,2011-08-26
417,389.969994,2011-08-29
418,389.989994,2011-08-30
419,384.830009,2011-08-31
420,381.030003,2011-09-01
421,374.050003,2011-09-02
422,379.740013,2011-09-06
423,383.929989,2011-09-07
424,384.140007,2011-09-08
425,377.479988,2011-09-09
426,379.939991,2011-09-12
427,384.619991,2011-09-13
428,389.299992,2011-09-14
429,392.959995,2011-09-15
430,400.500008,2011-09-16
431,411.630009,2011-09-19
432,413.449997,2011-09-20
433,412.140007,2011-09-21
434,401.820011,2011-09-22
435,404.299988,2011-09-23
436,403.170002,2011-09-26
437,399.260006,2011-09-27
438,397.009995,2011-09-28
439,390.570007,2011-09-29
440,381.319996,2011-09-30
441,374.600002,2011-10-03
442,372.500008,2011-10-04
443,378.249992,2011-10-05
444,377.369999,2011-10-06
445,369.799999,2011-10-07
446,388.809994,2011-10-10
447,400.289989,2011-10-11
448,402.190006,2011-10-12
449,408.429989,2011-10-13
450,421.999992,2011-10-14
451,419.990013,2011-10-17
452,422.23999800000007,2011-10-18
453,398.619991,2011-10-19
454,395.310009,2011-10-20
455,392.870007,2011-10-21
456,405.770008,2011-10-24
457,397.770012,2011-10-25
458,400.60001,2011-10-26
459,404.69001,2011-10-27
460,404.949989,2011-10-28
461,404.779999,2011-10-31
462,396.51001,2011-11-01
463,397.410004,2011-11-02
464,403.07,2011-11-03
465,400.240002,2011-11-04
466,399.730003,2011-11-07
467,406.229992,2011-11-08
468,395.279995,2011-11-09
469,385.220005,2011-11-10
470,384.619991,2011-11-11
471,379.260002,2011-11-14
472,388.829994,2011-11-15
473,384.770008,2011-11-16
474,377.41,2011-11-17
475,374.94001,2011-11-18
476,369.009995,2011-11-21
477,376.510006,2011-11-22
478,366.990002,2011-11-23
479,363.570004,2011-11-25
480,376.12001,2011-11-28
481,373.199997,2011-11-29
482,382.199989,2011-11-30
483,387.93,2011-12-01
484,389.700001,2011-12-02
485,393.01001,2011-12-05
486,390.949989,2011-12-06
487,389.09,2011-12-07
488,390.659996,2011-12-08
489,393.62001,2011-12-09
490,391.839996,2011-12-12
491,388.809994,2011-12-13
492,380.19001,2011-12-14
493,378.939995,2011-12-15
494,381.019989,2011-12-16
495,382.210003,2011-12-19
496,395.949997,2011-12-20
497,396.450008,2011-12-21
498,398.550003,2011-12-22
499,403.330006,2011-12-23
500,406.529999,2011-12-27
501,402.640003,2011-12-28
502,405.120007,2011-12-29
503,405.000004,2011-12-30
504,411.23,2012-01-03
505,413.44001,2012-01-04
506,418.029995,2012-01-05
507,422.400002,2012-01-06
508,421.73,2012-01-09
509,423.239994,2012-01-10
510,422.549992,2012-01-11
511,421.389992,2012-01-12
512,419.810009,2012-01-13
513,424.700001,2012-01-17
514,429.110008,2012-01-18
515,427.750004,2012-01-19
516,420.3000070000001,2012-01-20
517,427.409996,2012-01-23
518,420.409996,2012-01-24
519,446.659996,2012-01-25
520,444.62999,2012-01-26
521,447.28001,2012-01-27
522,453.009995,2012-01-30
523,456.47998,2012-01-31
524,456.189987,2012-02-01
525,455.12000300000005,2012-02-02
526,459.68,2012-02-03
527,463.969978,2012-02-06
528,468.830009,2012-02-07
529,476.680016,2012-02-08
530,493.170006,2012-02-09
531,493.419998,2012-02-10
532,502.600021,2012-02-13
533,509.459991,2012-02-14
534,497.669975,2012-02-15
535,502.209999,2012-02-16
536,502.12001,2012-02-17
537,514.850021,2012-02-21
538,513.039993,2012-02-22
539,516.3899769999999,2012-02-23
540,522.4099809999999,2012-02-24
541,525.760017,2012-02-27
542,535.410011,2012-02-28
543,542.440025,2012-02-29
544,544.4699780000001,2012-03-01
545,545.180008,2012-03-02
546,533.1600269999999,2012-03-05
547,530.259987,2012-03-06
548,530.6900099999999,2012-03-07
549,541.989975,2012-03-08
550,545.170021,2012-03-09
551,551.999977,2012-03-12
552,568.099998,2012-03-13
553,589.580009,2012-03-14
554,585.5599980000001,2012-03-15
555,585.569984,2012-03-16
556,601.100006,2012-03-19
557,605.959984,2012-03-20
558,602.4999849999999,2012-03-21
559,599.3400190000001,2012-03-22
560,596.050011,2012-03-23
561,606.97998,2012-03-26
562,614.4800190000001,2012-03-27
563,617.62001,2012-03-28
564,609.8599929999999,2012-03-29
565,599.550011,2012-03-30
566,618.6300200000001,2012-04-02
567,629.319984,2012-04-03
